
 ___________
\___________/
     ___________      ______
    \___________/     | ___ \
 ___________          | |_/ /__ _ __ ___  ___  ___
\___________/         |  __/ _ \ '__/ __|/ _ \/ __|
 ___                  | | |  __/ |  \__ \  __/\__ \
\___/                 \_|  \___|_|  |___/\___||___/  0.53.1
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/TimeSeriesChart/__mf/js/async/__federation_expose_TimeSeriesChart.54276867.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/TimeSeriesChart/__mf/js/TimeSeriesChart.734ed3ec.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/529.2303b01b.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/1605.dc180cb8.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/async/__federation_expose_PrometheusDatasource.3c1c02b3.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Prometheus/__mf/js/Prometheus.3e36625f.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/3617.32db58a8.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/501.3a82cccb.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/8580.fc8466c9.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/8988.c5f79a01.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/__federation_expose_TempoTraceQuery.629ec38d.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/Tempo/__mf/js/async/3208.47804c05.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_cache_dist_emotion-cache_browser_development_esm_js.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_immer_dist_immer_mjs.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_TextField_TextField_js.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_emotion_serialize_dist_emotion-serialize_development_esm_js.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Paper_Paper_js-node_modules_mui_material_utils_createSimple-dd7695.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_ButtonBase_ButtonBase_js.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_FormControlLabel_FormControlLabel_js-node_modules_mui_mater-4160e4.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Checkbox_Checkbox_js.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=304 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_react_jsx-dev-runtime_js.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Stack_Stack_js-node_modules_mui_utils_esm_generateUtilityCl-61a4e3.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/src_components_LazyTextField_tsx-src_model_index_ts.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_mui_material_Typography_Typography_js-node_modules_perses-dev_core_dist_-a20b8f.js
time="2026-05-08T22:41:05+02:00" level=info method=GET status=200 uri=/plugins/AlertManager/__mf/js/async/vendors-node_modules_react_jsx-dev-runtime_js.js.map
